Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3690000,1.0359037,0.28142658,None,None,None,4115.0,19.384003162384033,19.384003162384033,1.0
3700000,1.0844694,0.43119797,0.011742924,0.016380016,0.00030000004,None,None,None,1.0
3710000,1.0404061,0.35973918,None,None,None,5321.666666666667,20.766003236174583,20.766003236174583,1.0
3720000,1.0503476,0.27663648,0.015012127,0.018717611,0.00030000004,4849.0,19.433336555957794,19.433336555957794,1.0
3730000,1.0227485,0.3559767,None,None,None,3566.0,21.183003664016724,21.183003664016724,1.0
3740000,1.0596752,0.37709418,0.012917099,0.015133506,0.00030000004,5582.0,17.91700279712677,17.91700279712677,1.0
3750000,1.025688,0.2952819,None,None,None,None,None,None,1.0
3760000,1.0393744,0.3841675,0.011144925,0.01621649,0.00030000004,7015.5,20.467003405094147,20.467003405094147,1.0
3770000,0.98369104,0.26158783,None,None,None,6798.8,13.000169545412064,13.000169545412064,1.0
3780000,1.0059727,0.30699992,0.01162649,0.018399034,0.00030000004,3615.0,19.88400411605835,19.88400411605835,1.0
3790000,0.9684682,0.4149092,None,None,None,5499.0,19.0000036607186,19.0000036607186,1.0
3800000,0.9570054,0.41036096,0.013438753,0.019015523,0.00030000004,2799.0,22.20000410079956,22.20000410079956,1.0
3810000,0.9910767,0.4280754,None,None,None,9999.0,13.000003397464752,13.000003397464752,1.0
3820000,1.0118349,0.33538815,0.011667956,0.021162909,0.00030000004,4110.0,20.866503655910492,20.866503655910492,1.0
3830000,0.97150785,0.48863333,None,None,None,7766.0,20.434002697467804,20.434002697467804,1.0
3840000,0.9873743,0.35881764,None,None,None,4816.0,18.708004355430603,18.708004355430603,1.0
3850000,1.0380254,0.42971784,0.015480735,0.016696362,0.00030000004,4432.0,20.067004680633545,20.067004680633545,1.0
3860000,0.9866025,0.3287481,None,None,None,4836.25,19.017003084222477,19.017003084222477,1.0
3870000,0.95526636,0.36378413,0.013283726,0.017816275,0.00030000004,5378.5,19.816403114795683,19.816403114795683,1.0
3880000,0.9128496,0.36009967,None,None,None,3790.75,20.833253160119057,20.833253160119057,1.0
3890000,0.8827216,0.49767864,0.012860301,0.017225426,0.00030000004,4290.5,17.667004108428955,17.667004108428955,1.0
3900000,0.86660844,0.3930159,None,None,None,3607.5,19.011004428068798,19.011004428068798,1.0
3910000,0.8361546,0.4476765,0.018295992,0.021194216,0.00030000004,4765.5,17.10850340127945,17.10850340127945,1.0
3920000,0.7527239,0.5216466,None,None,None,5232.0,20.534002780914307,20.534002780914307,1.0
3930000,0.8474936,0.42689854,0.017908227,0.021374673,0.00030000004,9999.0,15.000003397464752,15.000003397464752,1.0
3940000,0.8676986,0.5138378,None,None,None,3749.0,19.750003933906555,19.750003933906555,1.0
3950000,0.9025635,0.36953798,0.016758746,0.019143758,0.00030000004,None,None,None,1.0
3960000,0.8460263,0.3788011,None,None,None,3312.2,20.78680399656296,20.78680399656296,1.0
3970000,0.85657656,0.39283744,0.016181277,0.01889735,0.00030000004,4538.0,19.961003839969635,19.961003839969635,1.0
3980000,0.8631085,0.30970073,None,None,None,9999.0,16.000002950429916,16.000002950429916,1.0
3990000,0.8895869,0.4744297,0.014804494,0.012853978,0.00030000004,4141.0,20.858003944158554,20.858003944158554,1.0
